,annual_temp,reproductive.mode,Binomial,Genus,Family,female.SVL,hatchling.neonate.SVL,intercept,slope,female_mass,hatchling_mass,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time
Anolis_carolinensis,17.59433309,Oviparous,Anolis_carolinensis,Anolis,Dactyloidae,49.3,21.8,-4.574,2.942,140.4666,59.5616,2,1,1.3,1,-88.33,32.08,Diurnal
Anolis_carpenteri,26.03566678,Oviparous,Anolis_carpenteri,Anolis,Dactyloidae,39.9,26,-4.574,2.942,112.8118,71.918,1,1,1,1,-83.99,10.44,Diurnal
Anolis_christophei,25.61200031,Oviparous,Anolis_christophei,Anolis,Dactyloidae,43.4,19.5,-4.574,2.942,123.1088,52.795,1,1,1,1,-70.44,19.06,Diurnal
Anolis_chrysolepis,26.98166688,Oviparous,Anolis_chrysolepis,Anolis,Dactyloidae,56,27,-4.574,2.942,160.178,74.86,2,1,1,1,-57.49,-4.08,Diurnal
Anolis_cristatellus,21.70300007,Oviparous,Anolis_cristatellus,Anolis,Dactyloidae,50.9,22,-4.574,2.942,145.1738,60.15,1,1,1,1,-66.39,18.23,Diurnal
Anolis_cupreus,25.38633315,Oviparous,Anolis_cupreus,Anolis,Dactyloidae,44.1,18,-4.574,2.942,125.1682,48.382,1,1,1,1,-84.92,13.17,Diurnal
Anolis_evermanni,23.24100002,Oviparous,Anolis_evermanni,Anolis,Dactyloidae,47.5,20,-4.574,2.942,135.171,54.266,1,1,1,1,-66.25,18.22,Diurnal
Anolis_ferreus,26.21966664,Oviparous,Anolis_ferreus,Anolis,Dactyloidae,61.5,23,-4.574,2.942,176.359,63.092,2,2,2,2,-61.27,15.93,Diurnal
Anolis_frenatus,27.47933356,Oviparous,Anolis_frenatus,Anolis,Dactyloidae,108.9,35,-4.574,2.942,315.8098,98.396,1,1,1,1,-76.87,7.56,Diurnal
Anolis_fuscoauratus,26.7640001,Oviparous,Anolis_fuscoauratus,Anolis,Dactyloidae,45.2,16.7,-4.574,2.942,128.4044,44.5574,2,1,1,1,-61.08,-3.58,Diurnal
Anolis_garmani,21.34133355,Oviparous,Anolis_garmani,Anolis,Dactyloidae,81.1,27,-4.574,2.942,234.0222,74.86,2,1,1,1,-77.32,18.17,Diurnal
Anolis_gemmosus,13.6026667,Oviparous,Anolis_gemmosus,Anolis,Dactyloidae,57.7,26.8,-4.574,2.942,165.1794,74.2716,2,1,1,1,-78.55,0,Diurnal
Anolis_grahami,23.14699984,Oviparous,Anolis_grahami,Anolis,Dactyloidae,44.5,18.5,-4.574,2.942,126.345,49.853,2,1,1,1,-77.31,18.16,Diurnal
Anolis_gundlachi,21.85666641,Oviparous,Anolis_gundlachi,Anolis,Dactyloidae,44.2,17.4,-4.574,2.942,125.4624,46.6168,1,1,1,1,-66.45,18.22,Diurnal
Anolis_heterodermus,17.56266642,Oviparous,Anolis_heterodermus,Anolis,Dactyloidae,62.7,22,-4.574,2.942,179.8894,60.15,1,1,1,1,-75.35,4.42,Diurnal
Anolis_homolechis,25.72343779,Oviparous,Anolis_homolechis,Anolis,Dactyloidae,38.8,16.5,-4.574,2.942,109.5756,43.969,1,1,1,1,-78.97,21.59,Diurnal
Anolis_humilis,26.01933336,Oviparous,Anolis_humilis,Anolis,Dactyloidae,37.5,16.7,-4.574,2.942,105.751,44.5574,2,1,1.1,1,-81.75,8.88,Diurnal
Anolis_krugi,21.70300007,Oviparous,Anolis_krugi,Anolis,Dactyloidae,37.1,16,-4.574,2.942,104.5742,42.498,1,1,1,1,-66.39,18.21,Diurnal
Anolis_leachii,26.74826384,Oviparous,Anolis_leachii,Anolis,Dactyloidae,76,23,-4.574,2.942,219.018,63.092,2,2,2,2,-61.8,17.14,Diurnal
Anolis_lemurinus,22.57066631,Oviparous,Anolis_lemurinus,Anolis,Dactyloidae,59.3,24.5,-4.574,2.942,169.8866,67.505,2,1,1,1,-87.07,15.25,Diurnal
Anolis_lineatopus,23.14699984,Oviparous,Anolis_lineatopus,Anolis,Dactyloidae,46.2,21,-4.574,2.942,131.3464,57.208,1,1,1,1,-77.31,18.15,Diurnal
Anolis_lionotus,24.386,Oviparous,Anolis_lionotus,Anolis,Dactyloidae,62.5,26.5,-4.574,2.942,179.301,73.389,1,1,1,1,-81.08,8.48,Diurnal
Anolis_lividus,24.78866704,Oviparous,Anolis_lividus,Anolis,Dactyloidae,47.5,20,-4.574,2.942,135.171,54.266,1,1,1,1,-62.19,16.74,Diurnal
Anolis_luciae,23.70499992,Oviparous,Anolis_luciae,Anolis,Dactyloidae,55.5,23,-4.574,2.942,158.707,63.092,1,1,1,1,-75.2,7.39,Diurnal
Anolis_lucius,25.50133355,Oviparous,Anolis_lucius,Anolis,Dactyloidae,52,25.1,-4.574,2.942,148.41,69.2702,1,1,1,1,-78.9,21.83,Diurnal
Anolis_meridionalis,23.0873332,Oviparous,Anolis_meridionalis,Anolis,Dactyloidae,47.9,25.8,-4.574,2.942,136.3478,71.3296,3,1,1.4,1,-53.91,-14.42,Diurnal
Anolis_milleri,21.61066643,Oviparous,Anolis_milleri,Anolis,Dactyloidae,42.9,19.4,-4.574,2.942,121.6378,52.5008,2,1,2,1,-96.18,17.46,Diurnal
Anolis_naufragus,17.4236668,Oviparous,Anolis_naufragus,Anolis,Dactyloidae,51.6,28,-4.574,2.942,147.2332,77.802,2,2,2,2,-98.11,20.24,Diurnal
Anolis_nebulosus,17.13866671,Oviparous,Anolis_nebulosus,Anolis,Dactyloidae,40.8,18,-4.574,2.942,115.4596,48.382,1,1,1,1,-102.21,20.94,Diurnal
Anolis_oculatus,24.91899983,Oviparous,Anolis_oculatus,Anolis,Dactyloidae,52,22.7,-4.574,2.942,148.41,62.2094,2,1,1.1,1,-61.36,15.43,Diurnal
Anolis_opalinus,23.14699984,Oviparous,Anolis_opalinus,Anolis,Dactyloidae,42.3,19.3,-4.574,2.942,119.8726,52.2066,2,1,1,1,-77.3,18.14,Diurnal
Anolis_ortonii,26.66499964,Oviparous,Anolis_ortonii,Anolis,Dactyloidae,44.7,20.3,-4.574,2.942,126.9334,55.1486,2,1,1,1,-62.48,-4.01,Diurnal
Anolis_oxylophus,24.85733366,Oviparous,Anolis_oxylophus,Anolis,Dactyloidae,58.9,26,-4.574,2.942,168.7098,71.918,1,1,1,1,-84.23,12.47,Diurnal
Anolis_pentaprion,24.83966637,Oviparous,Anolis_pentaprion,Anolis,Dactyloidae,58.2,23,-4.574,2.942,166.6504,63.092,2,1,1,1,-84.82,12.53,Diurnal
Anolis_planiceps,25.4696668,Oviparous,Anolis_planiceps,Anolis,Dactyloidae,62.2,26,-4.574,2.942,178.4184,71.918,2,1,1.4,1.4,-63.71,4.93,Diurnal
Anolis_poecilopus,25.04233329,Oviparous,Anolis_poecilopus,Anolis,Dactyloidae,59.6,29,-4.574,2.942,170.7692,80.744,1,1,1,1,-76.2,7.57,Diurnal
Anolis_polylepis,24.22466675,Oviparous,Anolis_polylepis,Anolis,Dactyloidae,45.4,19,-4.574,2.942,128.9928,51.324,1,1,1,1,-83.33,8.88,Diurnal
Anolis_punctatus,27.05400006,Oviparous,Anolis_punctatus,Anolis,Dactyloidae,70.4,26,-4.574,2.942,202.5428,71.918,2,1,1.5,1,-60.09,-5.38,Diurnal
