,annual_temp,reproductive.mode,Binomial,Genus,Family,female.SVL,hatchling.neonate.SVL,intercept,slope,female_mass,hatchling_mass,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time
Ctenotus_nasutus,22.80566692,Oviparous,Ctenotus_nasutus,Ctenotus,Scincidae,44.2,22.5,-5.125,3.229,137.5968,67.5275,4,1,4,1.8,125.19,-25.75,Diurnal
Ctenotus_pantherinus,22.37866664,Oviparous,Ctenotus_pantherinus,Ctenotus,Scincidae,80.5,32,-5.125,3.229,254.8095,98.203,11,3,6.6,3.6,131.07,-23.88,Cathemeral
Ctenotus_piankai,23.68200016,Oviparous,Ctenotus_piankai,Ctenotus,Scincidae,52.4,26,-5.125,3.229,164.0746,78.829,5,1,3,2.5,124.23,-24.54,Diurnal
Ctenotus_quattuordecimlineatus,24.42266679,Oviparous,Ctenotus_quattuordecimlineatus,Ctenotus,Scincidae,61.1,29.5,-5.125,3.229,192.1669,90.1305,4,2,3.6,3,127.93,-23.44,Diurnal
Ctenotus_regius,21.91699966,Oviparous,Ctenotus_regius,Ctenotus,Scincidae,60,29,-5.125,3.229,188.615,88.516,4,1,3,2,139.43,-28.47,Diurnal
Ctenotus_robustus,23.57366681,Oviparous,Ctenotus_robustus,Ctenotus,Scincidae,98.6,36,-5.125,3.229,313.2544,111.119,9,3,6,4,141.6,-25.36,Diurnal
Ctenotus_schomburgkii,21.09533326,Oviparous,Ctenotus_schomburgkii,Ctenotus,Scincidae,43.5,21.5,-5.125,3.229,135.3365,64.2985,4,1,3,2,128.68,-27.06,Diurnal
Ctenotus_taeniolatus,19.74699966,Oviparous,Ctenotus_taeniolatus,Ctenotus,Scincidae,69.2,30,-5.125,3.229,218.3218,91.745,7,1,4.6,3,148.36,-26.49,Diurnal
Cyclodomorphus_branchialis,20.1596667,Viviparous,Cyclodomorphus_branchialis,Cyclodomorphus,Scincidae,91.3,42,-5.125,3.229,289.6827,130.493,5,2,3,3,115.74,-28.57,Cathemeral
Cyclodomorphus_casuarinae,6.640000095,Viviparous,Cyclodomorphus_casuarinae,Cyclodomorphus,Scincidae,123.7,43.3,-5.125,3.229,394.3023,134.6907,19,2,7.6,4,146.59,-41.94,Cathemeral
Cyclodomorphus_gerrardii,19.79566654,Viviparous,Cyclodomorphus_gerrardii,Cyclodomorphus,Scincidae,195,47.5,-5.125,3.229,624.53,148.2525,33,1,38,5.3,150.34,-25.88,Cathemeral
Cyclodomorphus_melanops,22.80266674,Viviparous,Cyclodomorphus_melanops,Cyclodomorphus,Scincidae,95.2,41.3,-5.125,3.229,302.2758,128.2327,4,1,3,2.4,127.82,-25.19,Cathemeral
Cyclodomorphus_michaeli,17.65433343,Viviparous,Cyclodomorphus_michaeli,Cyclodomorphus,Scincidae,125.3,42.8,-5.125,3.229,399.4687,133.0762,16,2,8.3,7,150.84,-33.73,Cathemeral
Cyclura_carinata,26.44696967,Oviparous,Cyclura_carinata,Cyclura,Iguanidae,228.6,79.8,-4.298,2.972,675.1012,232.8676,9,2,4.3,4.3,-71.73,21.73,Diurnal
Cyclura_cornuta,26.31433328,Oviparous,Cyclura_cornuta,Cyclura,Iguanidae,471.5,103.8,-4.298,2.972,1397,304.1956,24,5,17.4,12,-72.09,18.84,Diurnal
Cyclura_nubila,25.92000008,Oviparous,Cyclura_nubila,Cyclura,Iguanidae,352.5,102.5,-4.298,2.972,1043.332,300.332,30,2,15,5.6,-79.2,21.67,Diurnal
Cyclura_pinguis,26.79464308,Oviparous,Cyclura_pinguis,Cyclura,Iguanidae,457,97.5,-4.298,2.972,1353.906,285.472,20,7,14,10.6,-64.34,18.73,Diurnal
Cyclura_ricordi,15.76966675,Oviparous,Cyclura_ricordi,Cyclura,Iguanidae,340,87.2,-4.298,2.972,1006.182,254.8604,24,2,11.1,8.6,-71.71,18.31,Diurnal
Cyclura_rileyi,25.56933324,Oviparous,Cyclura_rileyi,Cyclura,Iguanidae,230,72.5,-4.298,2.972,679.262,211.172,10,2,4.4,3.1,-74.53,23.99,Diurnal
Dalmatolacerta_oxycephala,14.13866687,Oviparous,Dalmatolacerta_oxycephala,Dalmatolacerta,Lacertidae,57.9,23.4,-4.543,2.951,166.3199,64.5104,6,2,3.5,3.3,17.64,43.27,Diurnal
Darevskia_brauneri,3.75166674,Oviparous,Darevskia_brauneri,Darevskia,Lacertidae,59.2,26,-4.543,2.951,170.1562,72.183,5,2,4,4,40.79,43.7,Diurnal
Darevskia_derjugini,14.0376668,Oviparous,Darevskia_derjugini,Darevskia,Lacertidae,54.7,22,-4.543,2.951,156.8767,60.379,8,1,6.2,6.2,41.79,42.05,Diurnal
Darevskia_praticola,11.88066659,Oviparous,Darevskia_praticola,Darevskia,Lacertidae,51.1,22.5,-4.543,2.951,146.2531,61.8545,7,2,5.7,4,45.42,42.09,Diurnal
Darevskia_raddei,13.07066682,Oviparous,Darevskia_raddei,Darevskia,Lacertidae,60.2,25.7,-4.543,2.951,173.1072,71.2977,7,1,4,4,45.54,38.9,Diurnal
Darevskia_saxicola,4.822000091,Oviparous,Darevskia_saxicola,Darevskia,Lacertidae,57.8,25.4,-4.543,2.951,166.0248,70.4124,6,2,4,4,42.11,43.88,Diurnal
Darevskia_unisexualis,4.466333369,Oviparous,Darevskia_unisexualis,Darevskia,Lacertidae,59.3,27,-4.543,2.951,170.4513,75.134,10,1,5,5,43.07,41.18,Diurnal
Darevskia_valentini,8.564666559,Oviparous,Darevskia_valentini,Darevskia,Lacertidae,65.4,27.9,-4.543,2.951,188.4524,77.7899,12,2,5.2,5.2,40.42,39.75,Diurnal
Delma_australis,18.86533324,Oviparous,Delma_australis,Delma,Pygopodidae,70.8,31,-2.039,1.371,95.0278,40.462,2,2,2,2,130.22,-30.3,Diurnal
Delma_butleri,20.67999991,Oviparous,Delma_butleri,Delma,Pygopodidae,82.6,36,-2.039,1.371,111.2056,47.317,2,2,2,2,129.25,-27.38,Cathemeral
Delma_fraseri,17.2486666,Oviparous,Delma_fraseri,Delma,Pygopodidae,110.7,44.5,-2.039,1.371,149.7307,58.9705,2,2,2,2,119.68,-31.73,Cathemeral
Delma_grayii,23.26499963,Oviparous,Delma_grayii,Delma,Pygopodidae,101.3,44.5,-2.039,1.371,136.8433,58.9705,2,2,2,2,115.07,-26.12,Diurnal
Delma_tincta,20.78866665,Oviparous,Delma_tincta,Delma,Pygopodidae,69.4,31,-2.039,1.371,93.1084,40.462,2,1,2,2,134.31,-23.13,Cathemeral
Dinarolacerta_mosorensis,11.82799991,Oviparous,Dinarolacerta_mosorensis,Dinarolacerta,Lacertidae,63.9,25.5,-4.543,2.951,184.0259,70.7075,8,2,5.2,4.3,18.24,43.05,Diurnal
Diporiphora_amphiboluroides,21.51000023,Oviparous,Diporiphora_amphiboluroides,Diporiphora,Agamidae,87.9,38,-4.686,3.105,268.2435,113.304,12,12,12,12,120.07,-26.73,Diurnal
Diporiphora_bennettii,27.7886672,Oviparous,Diporiphora_bennettii,Diporiphora,Agamidae,52.6,23,-4.686,3.105,158.637,66.729,5,4,4.3,4.3,130.75,-15.72,Diurnal
Diporiphora_nobbi,20.92833344,Oviparous,Diporiphora_nobbi,Diporiphora,Agamidae,67.7,27.5,-4.686,3.105,205.5225,80.7015,9,4,6,6,147.29,-27.75,Diurnal
Diporiphora_paraconvergens,25.45800034,Oviparous,Diporiphora_paraconvergens,Diporiphora,Agamidae,56.5,31.5,-4.686,3.105,170.7465,93.1215,3,3,3,3,125.22,-23.21,Diurnal
Diporiphora_winneckei,23.31166673,Oviparous,Diporiphora_winneckei,Diporiphora,Agamidae,59.7,21,-4.686,3.105,180.6825,60.519,7,1,3,3,129.07,-24.59,Diurnal
Dipsosaurus_dorsalis,23.2543335,Oviparous,Dipsosaurus_dorsalis,Dipsosaurus,Iguanidae,114,45.5,-4.298,2.972,334.51,130.928,8,2,5.5,3.5,-113.6,31.79,Diurnal
Dopasia_harti,14.56266691,Oviparous,Dopasia_harti,Dopasia,Anguidae,212.9,82,-5.765,3.48,735.127,279.595,6,5,6,6,108.61,26.81,Diurnal
Draco_beccarii,24.59200001,Oviparous,Draco_beccarii,Draco,Agamidae,71.2,30,-4.686,3.105,216.39,88.464,4,1,2.9,2.9,121.31,-2.68,Diurnal
Draco_cyanopterus,26.31899977,Oviparous,Draco_cyanopterus,Draco,Agamidae,91.3,26,-4.686,3.105,278.8005,76.044,4,3,3.8,3.8,125.06,7.69,Diurnal
Draco_maculatus,23.35000006,Oviparous,Draco_maculatus,Draco,Agamidae,71.6,23.7,-4.686,3.105,217.632,68.9025,5,2,3.6,3.6,100.92,19.41,Diurnal
Draco_quinquefasciatus,26.33466689,Oviparous,Draco_quinquefasciatus,Draco,Agamidae,99.2,30.4,-4.686,3.105,303.33,89.706,4,1,4,2.7,109.65,1.61,Diurnal
Draco_volans,23.78466686,Oviparous,Draco_volans,Draco,Agamidae,78,26.5,-4.686,3.105,237.504,77.5965,7,1,4.5,4.5,110.24,-7.35,Diurnal
Dryadosaura_nordestina,21.35366678,Oviparous,Dryadosaura_nordestina,Dryadosaura,Gymnophthalmidae,43.7,18.5,-4.207,2.3,96.303,38.343,3,2,3,2,-36.33,-8.84,Diurnal
Egernia_depressa,23.18066676,Viviparous,Egernia_depressa,Egernia,Scincidae,104.6,56,-5.125,3.229,332.6284,175.699,3,2,2,2,121.88,-24.8,Diurnal
Egernia_kingii,16.9576664,Viviparous,Egernia_kingii,Egernia,Scincidae,209.3,70,-5.125,3.229,670.7047,220.905,11,2,6,4,117.86,-32.33,Diurnal
Egernia_stokesii,20.24600005,Viviparous,Egernia_stokesii,Egernia,Scincidae,182.3,75.5,-5.125,3.229,583.5217,238.6645,8,1,5.8,3,132.72,-27.05,Diurnal
Egernia_striolata,21.10566632,Viviparous,Egernia_striolata,Egernia,Scincidae,107,50.5,-5.125,3.229,340.378,157.9395,6,2,4.3,3.3,146.04,-28.47,Diurnal
Elgaria_coerulea,10.97866679,Viviparous,Elgaria_coerulea,Elgaria,Anguidae,91.9,30.5,-5.765,3.48,314.047,100.375,15,2,7,3.8,-120.43,46.37,Diurnal
Elgaria_kingii,12.14899985,Oviparous,Elgaria_kingii,Elgaria,Anguidae,109,33,-5.765,3.48,373.555,109.075,15,9,12,12,-108.07,29.04,Diurnal
Elgaria_multicarinata,16.67866659,Oviparous,Elgaria_multicarinata,Elgaria,Anguidae,119.7,31,-5.765,3.48,410.791,102.115,41,1,13,8.8,-120.02,37.28,Cathemeral
Elgaria_paucicarinata,17.25533326,Oviparous,Elgaria_paucicarinata,Elgaria,Anguidae,91,40,-5.765,3.48,310.915,133.435,8,6,7,7,-109.98,23.59,Diurnal
Emoia_atrocostata,26.90905809,Oviparous,Emoia_atrocostata,Emoia,Scincidae,82.1,29.5,-5.125,3.229,259.9759,90.1305,3,1,2,1.9,122.53,0.54,Diurnal
Emoia_caeruleocauda,26.34833336,Oviparous,Emoia_caeruleocauda,Emoia,Scincidae,50,23,-5.125,3.229,156.325,69.142,2,1,2,2,137.88,-4.64,Diurnal
Emoia_guttata,20.79166651,Oviparous,Emoia_guttata,Emoia,Scincidae,60,26,-5.125,3.229,188.615,78.829,2,2,2,2,146.61,-7.28,Diurnal
Emoia_jakati,26.96333329,Oviparous,Emoia_jakati,Emoia,Scincidae,50,21.5,-5.125,3.229,156.325,64.2985,2,2,2,2,141.97,-4.31,Diurnal
Emoia_mivarti,26.46999963,Oviparous,Emoia_mivarti,Emoia,Scincidae,50.1,30,-5.125,3.229,156.6479,91.745,2,2,2,2,146.75,-2.08,Diurnal
Emoia_nigra,26.39099948,Oviparous,Emoia_nigra,Emoia,Scincidae,102.4,35,-5.125,3.229,325.5246,107.89,5,2,2.9,2.3,142.21,-11.9,Diurnal
Emoia_oriva,26.84499979,Oviparous,Emoia_oriva,Emoia,Scincidae,81.6,35.7,-5.125,3.229,258.3614,110.1503,2,2,2,2,177.07,-12.5,Diurnal
Emoia_pallidiceps,15.66000009,Oviparous,Emoia_pallidiceps,Emoia,Scincidae,50.8,27,-5.125,3.229,158.9082,82.058,2,2,2,2,144.35,-6.09,Diurnal
Emoia_physicae,16.68733358,Oviparous,Emoia_physicae,Emoia,Scincidae,66,31.5,-5.125,3.229,207.989,96.5885,2,2,2,2,147.56,-8.8,Diurnal
Emoia_ponapea,25.70233361,Oviparous,Emoia_ponapea,Emoia,Scincidae,46.8,21,-5.125,3.229,145.9922,62.684,2,2,2,2,158.23,6.88,Diurnal
Emoia_samoensis,26.3499999,Oviparous,Emoia_samoensis,Emoia,Scincidae,98.5,31,-5.125,3.229,312.9315,94.974,7,2,5.3,5.3,-172.17,-13.74,Diurnal
Enyalioides_cofanorum,25.90499973,Oviparous,Enyalioides_cofanorum,Enyalioides,Hoplocercidae,104,56,-5.033,3.243,332.239,176.575,5,2,3,3,-74.44,-2.42,Diurnal
Enyalioides_laticeps,26.07966661,Oviparous,Enyalioides_laticeps,Enyalioides,Hoplocercidae,114.6,43,-5.033,3.243,366.6148,134.416,11,5,6.3,6.2,-73.13,-3.72,Diurnal
Enyalius_catenatus,22.67433341,Oviparous,Enyalius_catenatus,Enyalius,Leiosauridae,92.9,36.3,-5.296,3.389,309.5421,117.7247,18,2,12,8,-38.64,-11.92,Diurnal
Enyalius_iheringii,18.23533384,Oviparous,Enyalius_iheringii,Enyalius,Leiosauridae,106,27.5,-5.296,3.389,353.938,87.9015,18,10,14,13.3,-48.31,-24.96,Diurnal
Enyalius_perditus,20.19533316,Oviparous,Enyalius_perditus,Enyalius,Leiosauridae,79.3,29.5,-5.296,3.389,263.4517,94.6795,14,3,10.2,7.1,-46.77,-21.49,Diurnal
Eremias_argus,3.423333565,Oviparous,Eremias_argus,Eremias,Lacertidae,57.2,27.5,-4.543,2.951,164.2542,76.6095,6,2,3.5,3,115.33,42.4,Diurnal
Eremias_arguta,6.335333327,Oviparous,Eremias_arguta,Eremias,Lacertidae,72,30,-4.543,2.951,207.929,83.987,12,1,4.5,3,60.98,47.46,Diurnal
Eremias_intermedia,14.32333327,Oviparous,Eremias_intermedia,Eremias,Lacertidae,52,28,-4.543,2.951,148.909,78.085,3,1,2,2,64.19,42.01,Diurnal
Eremias_multiocellata,4.58133318,Viviparous,Eremias_multiocellata,Eremias,Lacertidae,58.5,26.2,-4.543,2.951,168.0905,72.7732,5,1,3.4,2.3,97.1,41.7,Diurnal
Eremias_przewalskii,8.93833315,Viviparous,Eremias_przewalskii,Eremias,Lacertidae,80.3,29,-4.543,2.951,232.4223,81.036,5,1,3.8,3.3,93.49,41.41,Diurnal
Eremiascincus_isolepis,25.37899987,Oviparous,Eremiascincus_isolepis,Eremiascincus,Scincidae,58.5,29,-5.125,3.229,183.7715,88.516,9,1,5.2,4.8,129.92,-17.88,Cathemeral
Eugongylus_rufescens,26.81200012,Oviparous,Eugongylus_rufescens,Eugongylus,Scincidae,122.5,45,-5.125,3.229,390.4275,140.18,4,2,3.3,3.3,139.83,-5.37,Cathemeral
Eulamprus_leuraensis,11.95466677,Viviparous,Eulamprus_leuraensis,Eulamprus,Scincidae,72.7,30,-5.125,3.229,229.6233,91.745,5,1,3,2.3,150.28,-33.54,Diurnal
Eulamprus_quoyii,20.38933357,Viviparous,Eulamprus_quoyii,Eulamprus,Scincidae,102.7,38.6,-5.125,3.229,326.4933,119.5144,10,2,6.7,4,148.72,-28.84,Diurnal
Eulamprus_tympanum,14.40166636,Viviparous,Eulamprus_tympanum,Eulamprus,Scincidae,88.1,35.5,-5.125,3.229,279.3499,109.5045,9,1,3.9,2.7,145.61,-36.77,Diurnal
Eurydactylodes_agricolae,22.97666661,Oviparous,Eurydactylodes_agricolae,Eurydactylodes,Diplodactylidae,52,25,-4.804,3.057,154.16,71.621,2,2,2,2,164.45,-20.52,Diurnal
Eurydactylodes_vieillardi,20.34200001,Oviparous,Eurydactylodes_vieillardi,Eurydactylodes,Diplodactylidae,51,24.3,-4.804,3.057,151.103,69.4811,2,2,2,2,165.79,-21.57,Diurnal
Eutropis_carinata,24.89800024,Oviparous,Eutropis_carinata,Eutropis,Scincidae,88.5,28.2,-5.125,3.229,280.6415,85.9328,23,2,8,2.5,80.25,22.91,Diurnal
Eutropis_indeprensa,26.84566673,Oviparous,Eutropis_indeprensa,Eutropis,Scincidae,55.9,23.6,-5.125,3.229,175.3761,71.0794,4,2,2.5,2.5,122.02,10.69,Diurnal
Eutropis_longicaudata,26.03066651,Oviparous,Eutropis_longicaudata,Eutropis,Scincidae,107.5,41.3,-5.125,3.229,341.9925,128.2327,16,1,6.9,6.5,103.64,17.41,Diurnal
Eutropis_multifasciata,22.84033314,Viviparous,Eutropis_multifasciata,Eutropis,Scincidae,104.4,38,-5.125,3.229,331.9826,117.577,10,1,6,3.8,106.65,14.85,Diurnal
Gallotia_atlantica,19.54400015,Oviparous,Gallotia_atlantica,Gallotia,Lacertidae,61,30.1,-4.543,2.951,175.468,84.2821,6,1,2.7,1.7,-13.94,28.6,Diurnal
Gallotia_intermedia,18.95066659,Oviparous,Gallotia_intermedia,Gallotia,Lacertidae,136.5,50.4,-4.543,2.951,398.2685,144.1874,8,7,7.4,7.4,-16.81,28.25,Diurnal
Gallotia_simonyi,16.19833318,Oviparous,Gallotia_simonyi,Gallotia,Lacertidae,159.7,51,-4.543,2.951,466.7317,145.958,13,4,11.7,8.6,-18.03,27.72,Diurnal
Gallotia_stehlini,20.37638871,Oviparous,Gallotia_stehlini,Gallotia,Lacertidae,185.9,43.5,-4.543,2.951,544.0479,123.8255,16,4,10.3,9.8,-15.39,28,Diurnal
Gambelia_sila,17.04900018,Oviparous,Gambelia_sila,Gambelia,Crotaphytidae,97.5,45,-1.528,1.569,151.4495,69.077,6,1,3.4,2.9,-120.06,36.12,Diurnal
Gambelia_wislizenii,10.62466665,Oviparous,Gambelia_wislizenii,Gambelia,Crotaphytidae,110.5,44,-1.528,1.569,171.8465,67.508,14,1,7.6,2.7,-112.18,35.5,Diurnal
Gekko_petricolus,26.88233344,Oviparous,Gekko_petricolus,Gekko,Gekkonidae,70.7,32.5,-4.242,2.761,190.9607,85.4905,2,1,2,2,105.38,14.72,Cathemeral
Gerrhonotus_infernalis,21.04299982,Oviparous,Gerrhonotus_infernalis,Gerrhonotus,Anguidae,127.7,36.5,-5.765,3.48,438.631,121.255,31,5,19.6,18,-101.7,27,Cathemeral
Gerrhonotus_parvus,18.92999991,Oviparous,Gerrhonotus_parvus,Gerrhonotus,Anguidae,75.3,25,-5.765,3.48,256.279,81.235,8,4,7,7,-100.13,25.07,Diurnal
Gerrhosaurus_flavigularis,19.12833341,Oviparous,Gerrhosaurus_flavigularis,Gerrhosaurus,Gerrhosauridae,131,46.8,-4.783,3.085,399.352,139.595,8,3,5,4,31.73,-17.56,Diurnal
Gerrhosaurus_skoogi,19.8336668,Oviparous,Gerrhosaurus_skoogi,Gerrhosaurus,Gerrhosauridae,144,60,-4.783,3.085,439.457,180.317,4,2,2,2,12.6,-18.34,Diurnal
Gonatodes_annularis,25.93900029,Oviparous,Gonatodes_annularis,Gonatodes,Sphaerodactylidae,46.5,20,-4.558,2.97,133.547,54.842,2,1,2,2,-59,0.82,Diurnal
Gonatodes_ceciliae,25.5295833,Oviparous,Gonatodes_ceciliae,Gonatodes,Sphaerodactylidae,50,15,-4.558,2.97,143.942,39.992,1,1,1,1,-62.19,10.63,Diurnal
Gonatodes_concinnatus,26.31899993,Oviparous,Gonatodes_concinnatus,Gonatodes,Sphaerodactylidae,42,18.5,-4.558,2.97,120.182,50.387,1,1,1,1,-72.66,0.46,Diurnal
Gonatodes_hasemani,25.95600001,Oviparous,Gonatodes_hasemani,Gonatodes,Sphaerodactylidae,41.6,21.7,-4.558,2.97,118.994,59.891,1,1,1,1,-64.62,-8.71,Diurnal
Gonatodes_humeralis,27.01933304,Oviparous,Gonatodes_humeralis,Gonatodes,Sphaerodactylidae,35.3,17,-4.558,2.97,100.283,45.932,2,1,1.7,1,-60.83,-4.82,Diurnal
Gonatodes_petersi,23.14899985,Oviparous,Gonatodes_petersi,Gonatodes,Sphaerodactylidae,36.5,17.4,-4.558,2.97,103.847,47.12,1,1,1,1,-72.57,10.48,Diurnal
Gonatodes_vittatus,21.45333322,Oviparous,Gonatodes_vittatus,Gonatodes,Sphaerodactylidae,29.8,15.5,-4.558,2.97,83.948,41.477,2,1,2,1,-67.48,9.89,Diurnal
Gonocephalus_bornensis,24.3573335,Oviparous,Gonocephalus_bornensis,Gonocephalus,Agamidae,110,36,-4.686,3.105,336.864,107.094,4,4,4,4,113.48,1.21,Diurnal
Gonocephalus_kuhlii,21.55533346,Oviparous,Gonocephalus_kuhlii,Gonocephalus,Agamidae,143.5,30,-4.686,3.105,440.8815,88.464,4,4,4,4,107.87,-7.03,Diurnal
Gonocephalus_liogaster,26.72666661,Oviparous,Gonocephalus_liogaster,Gonocephalus,Agamidae,113,33.5,-4.686,3.105,346.179,99.3315,4,1,3.2,3,113.25,2.7,Diurnal
Gowidon_longirostris,24.07899992,Oviparous,Gowidon_longirostris,Gowidon,Agamidae,92.1,28.5,-4.686,3.105,281.2845,83.8065,15,3,5.5,3.9,125.59,-24.52,Diurnal
Gowidon_temporalis,27.35733366,Oviparous,Gowidon_temporalis,Gowidon,Agamidae,84.9,37,-4.686,3.105,258.9285,110.199,8,2,4.5,4.5,134.9,-13.35,Diurnal
Gymnodactylus_geckoides,24.05833308,Oviparous,Gymnodactylus_geckoides,Gymnodactylus,Phyllodactylidae,40.2,20.3,-4.482,2.945,113.907,55.3015,2,1,2,1,-39.39,-9.12,Cathemeral
Gymnophthalmus_speciosus,28.16633368,Oviparous,Gymnophthalmus_speciosus,Gymnophthalmus,Gymnophthalmidae,41.7,17.5,-4.207,2.3,91.703,36.043,4,1,2,1.8,-74.24,9.06,Diurnal
Gymnophthalmus_underwoodi,25.80766678,Oviparous,Gymnophthalmus_underwoodi,Gymnophthalmus,Gymnophthalmidae,38,17.5,-4.207,2.3,83.193,36.043,6,1,2,1.9,-57.84,3.06,Diurnal
Haemodracon_riebeckii,23.93166669,Oviparous,Haemodracon_riebeckii,Haemodracon,Phyllodactylidae,107,33,-4.482,2.945,310.633,92.703,2,1,1.8,1.8,53.85,12.5,Cathemeral
Harpesaurus_borneensis,25.64166689,Mixed,Harpesaurus_borneensis,Harpesaurus,Agamidae,58,26,-4.686,3.105,175.404,76.044,2,2,2,2,112.32,1.69,Diurnal
Heliobolus_lugubris,22.75066646,Oviparous,Heliobolus_lugubris,Heliobolus,Lacertidae,58.9,20.5,-4.543,2.951,169.2709,55.9525,6,1,3.9,3.4,21.32,-20.86,Diurnal
Hellenolacerta_graeca,11.52399991,Oviparous,Hellenolacerta_graeca,Hellenolacerta,Lacertidae,77.5,28.5,-4.543,2.951,224.1595,79.5605,6,1,4,3,22.27,37.5,Diurnal
Heloderma_horridum,20.11633325,Oviparous,Heloderma_horridum,Heloderma,Helodermatidae,363.9,121,-5.058,3.145,1139.4075,375.487,22,2,9,7,-102.91,20.97,Cathemeral
Heloderma_suspectum,20.27333315,Oviparous,Heloderma_suspectum,Heloderma,Helodermatidae,299.7,136.5,-5.058,3.145,937.4985,424.2345,13,1,5.7,5,-111.69,32.2,Cathemeral
Hemicordylus_capensis,16.57099994,Viviparous,Hemicordylus_capensis,Hemicordylus,Cordylidae,95.9,44.7,-4.207,2.471,232.7619,106.2467,3,1,2.5,2,20.36,-33.11,Diurnal
Hemidactylus_flaviviridis,27.24333366,Oviparous,Hemidactylus_flaviviridis,Hemidactylus,Gekkonidae,62.9,25.5,-4.242,2.761,169.4249,66.1635,3,1,2,2,70.71,23.92,Cathemeral
Hemidactylus_mabouia,24.5916667,Oviparous,Hemidactylus_mabouia,Hemidactylus,Gekkonidae,58.2,22.5,-4.242,2.761,156.4482,57.8805,2,1,2,1.7,22.53,-3.95,Cathemeral
Hemidactylus_platyurus,23.24666691,Oviparous,Hemidactylus_platyurus,Hemidactylus,Gekkonidae,54.5,22,-4.242,2.761,146.2325,56.5,2,1,2,2,102.02,14.24,Cathemeral
Holbrookia_elegans,23.78166691,Oviparous,Holbrookia_elegans,Holbrookia,Phrynosomatidae,54,25,-3.855,2.677,140.703,63.07,5,5,5,5,-109.45,28.13,Diurnal
Holbrookia_maculata,15.10766677,Oviparous,Holbrookia_maculata,Holbrookia,Phrynosomatidae,54.2,21,-3.855,2.677,141.2384,52.362,12,1,10.8,3.5,-103.94,33.43,Diurnal
Holbrookia_propinqua,21.5526669,Oviparous,Holbrookia_propinqua,Holbrookia,Phrynosomatidae,51.7,26.5,-3.855,2.677,134.5459,67.0855,7,2,4.7,2.8,-98.21,27.93,Diurnal
Holcosus_quadrilineatus,17.39799992,Oviparous,Holcosus_quadrilineatus,Holcosus,Teiidae,69.1,31,-4.747,3.11,210.154,91.663,4,1,2.1,2,-82.7,9.04,Diurnal
Holcosus_undulatus,26.05566661,Oviparous,Holcosus_undulatus,Holcosus,Teiidae,92,34.7,-4.747,3.11,281.373,103.17,9,1,5.3,3.3,-93.99,17.7,Diurnal
Homopholis_walbergii,21.58966684,Oviparous,Homopholis_walbergii,Homopholis,Gekkonidae,94.6,22.5,-4.242,2.761,256.9486,57.8805,2,2,2,2,31.59,-24.52,Cathemeral
Iberolacerta_aranica,3.973333319,Oviparous,Iberolacerta_aranica,Iberolacerta,Lacertidae,57.1,25.4,-4.543,2.951,163.9591,70.4124,5,2,3.4,2.5,1.11,42.78,Diurnal
Iberolacerta_aurelioi,1.282666624,Oviparous,Iberolacerta_aurelioi,Iberolacerta,Lacertidae,55.1,28.2,-4.543,2.951,158.0571,78.6752,4,1,2.5,2.5,1.4,42.63,Diurnal
Iberolacerta_bonnali,1.455333362,Oviparous,Iberolacerta_bonnali,Iberolacerta,Lacertidae,55.9,24.4,-4.543,2.951,160.4179,67.4614,4,1,3,3,0.37,42.72,Diurnal
Iberolacerta_cyreni,10.10833343,Oviparous,Iberolacerta_cyreni,Iberolacerta,Lacertidae,73.9,26.5,-4.543,2.951,213.5359,73.6585,9,2,7.2,5.4,-4.6,40.58,Diurnal
Iberolacerta_horvathi,9.132333443,Oviparous,Iberolacerta_horvathi,Iberolacerta,Lacertidae,56.5,24.8,-4.543,2.951,162.1885,68.6418,10,1,3.7,3.3,14.16,45.77,Diurnal
Iberolacerta_martinezricai,10.41633346,Oviparous,Iberolacerta_martinezricai,Iberolacerta,Lacertidae,60.4,24.8,-4.543,2.951,173.6974,68.6418,4,4,4,4,-6.19,40.5,Diurnal
Iberolacerta_monticola,10.08933343,Oviparous,Iberolacerta_monticola,Iberolacerta,Lacertidae,66.3,24.1,-4.543,2.951,191.1083,66.5761,10,2,7.2,5.4,-5.39,42.79,Diurnal
Ichnotropis_capensis,21.46199989,Oviparous,Ichnotropis_capensis,Ichnotropis,Lacertidae,53.9,20,-4.543,2.951,154.5159,54.477,12,3,6.3,5.9,24.57,-16.24,Diurnal
Iguana_iguana,26.3766667,Oviparous,Iguana_iguana,Iguana,Iguanidae,318.4,77.5,-4.298,2.972,941.9868,226.032,71,9,40.6,17,-64.24,-1.76,Diurnal
Intellagama_lesueurii,20.30099988,Oviparous,Intellagama_lesueurii,Intellagama,Agamidae,209.7,47,-4.686,3.105,646.4325,141.249,24,3,12,7.4,149.02,-28.61,Diurnal
Iphisa_elegans,26.65799999,Oviparous,Iphisa_elegans,Iphisa,Gymnophthalmidae,53.1,27,-4.207,2.3,117.923,57.893,2,1,2,2,-63.42,-4.38,Diurnal
Isopachys_gyldenstolpei,27.78000005,Viviparous,Isopachys_gyldenstolpei,Isopachys,Scincidae,174.5,78.5,-5.125,3.229,558.3355,248.3515,5,5,5,5,99.67,13.35,Cathemeral
