,reproductive.mode,Binomial,Genus,Family,female.SVL,hatchling.neonate.SVL,intercept,slope,female_mass,hatchling_mass,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time,minimum.mean.Tb,maximum.mean.Tb
Polychrus_acutirostris,Oviparous,Polychrus_acutirostris,Polychrus,Polychrotidae,116.3,37.5,-5.033,3.243,372.128,116.580,31,4,22,4.5,-51.85,-13.83,Diurnal,35,35
Polychrus_marmoratus,Oviparous,Polychrus_marmoratus,Polychrus,Polychrotidae,121.9,42,-5.033,3.243,390.289,131.173,16,4,8.7,7.5,-62.02,-3.53,Diurnal,29,29
Potamites_ecpleopus,Oviparous,Potamites_ecpleopus,Potamites,Gymnophthalmidae,58.2,23,-5.178,3.302,186.998,70.768,2,2,2,2,-68.36,-5.74,Diurnal,26.4,27.9
Potamites_juruazensis,Oviparous,Potamites_juruazensis,Potamites,Gymnophthalmidae,53.7,24,-5.178,3.302,172.139,74.070,2,2,2,2,-73.81,-9.97,Diurnal,26.1,26.4
Proctoporus_sucullucu,Oviparous,Proctoporus_sucullucu,Proctoporus,Gymnophthalmidae,46.1,24.3,-5.178,3.302,147.044,75.061,2,2,2,2,-72.1,-13.62,Diurnal,22.6,22.6
Proctoporus_unsaacae,Oviparous,Proctoporus_unsaacae,Proctoporus,Gymnophthalmidae,43,20.7,-5.178,3.302,136.808,63.173,2,2,2,2,-72.32,-13.29,Diurnal,23.1,23.1
Psammodromus_algirus,Oviparous,Psammodromus_algirus,Psammodromus,Lacertidae,68.3,27.5,-4.543,2.951,197.010,76.610,11,1,7.1,3.6,-2.28,37.1,Diurnal,30.1,35.4
Psammodromus_hispanicus,Oviparous,Psammodromus_hispanicus,Psammodromus,Lacertidae,48.4,21,-4.543,2.951,138.285,57.428,6,1,3.6,2.9,-3.23,39.58,Diurnal,28.9,32.6
Pseudemoia_entrecasteauxii,Mixed,Pseudemoia_entrecasteauxii,Pseudemoia,Scincidae,53.1,23.5,-5.125,3.229,166.335,70.757,8,1,5,3.1,145.33,-37.67,Diurnal,29.8,33.9
Pseudemoia_spenceri,Viviparous,Pseudemoia_spenceri,Pseudemoia,Scincidae,56.7,27,-5.125,3.229,177.959,82.058,4,1,2.5,1.7,147.19,-36.56,Diurnal,31.6,31.9
Pseudocordylus_melanotus,Viviparous,Pseudocordylus_melanotus,Pseudocordylus,Cordylidae,103.7,38.5,-4.207,2.471,252.036,90.927,7,1,3.5,3.5,29.08,-28.16,Diurnal,26.3,28.9
Pseudopus_apodus,Oviparous,Pseudopus_apodus,Pseudopus,Anguidae,389.8,82.5,-5.224,2.892,1122.078,233.366,15,2,9.3,8,45.47,39.24,Diurnal,18.6,28.3
Pseudotrapelus_sinaitus,Oviparous,Pseudotrapelus_sinaitus,Pseudotrapelus,Agamidae,80.8,29,-4.686,3.105,246.198,85.359,9,4,5.3,3.6,36.79,27.02,Diurnal,31.4,39
Psychosaura_macrorhyncha,Viviparous,Psychosaura_macrorhyncha,Psychosaura,Scincidae,67.3,32.3,-5.125,3.229,212.187,99.172,6,1,4.7,2,-42.26,-16.96,Diurnal,30,33.8
Ptychoglossus_bicolor,Oviparous,Ptychoglossus_bicolor,Ptychoglossus,Gymnophthalmidae,55.9,27,-5.178,3.302,179.404,83.976,2,2,2,2,-74.97,4.13,Diurnal,22.6,24.3
Ptyodactylus_guttatus,Oviparous,Ptyodactylus_guttatus,Ptyodactylus,Phyllodactylidae,67.4,27.2,-4.482,2.945,194.011,75.622,2,1,2,2,34.35,30.11,Cathemeral,26.8,31.2
Ptyodactylus_hasselquistii,Oviparous,Ptyodactylus_hasselquistii,Ptyodactylus,Phyllodactylidae,69.6,31.5,-4.482,2.945,200.490,88.286,2,1,2,2,38.67,21.17,Cathemeral,25.3,34.7
Ptyodactylus_puiseuxi,Oviparous,Ptyodactylus_puiseuxi,Ptyodactylus,Phyllodactylidae,65.4,30.7,-4.482,2.945,188.121,85.930,2,1,2,1.8,36.63,32.74,Diurnal,31.2,31.5
Pygopus_nigriceps,Oviparous,Pygopus_nigriceps,Pygopus,Pygopodidae,173,70.5,-2.039,1.371,235.144,94.617,2,1,2,1.5,133.96,-24.47,Nocturnal,24.7,24.9
Quedenfeldtia_trachyblepharus,Oviparous,Quedenfeldtia_trachyblepharus,Quedenfeldtia,Sphaerodactylidae,42.8,20.5,-4.558,2.97,122.558,56.327,2,1,1,1,-7.7,31.05,Diurnal,26.7,31.4
Rankinia_diemensis,Oviparous,Rankinia_diemensis,Rankinia,Agamidae,65.2,25,-4.686,3.105,197.760,72.939,10,2,6.6,4.2,148.24,-36.46,Diurnal,32,32
Rhynchoedura_ornata,Oviparous,Rhynchoedura_ornata,Rhynchoedura,Diplodactylidae,49.6,24,-4.804,3.057,146.823,68.564,2,1,2,2,124.64,-24.85,Nocturnal,27.4,34
Saiphos_equalis,Mixed,Saiphos_equalis,Saiphos,Scincidae,74.8,24,-5.125,3.229,236.404,72.371,7,1,3.1,2.7,151.84,-30.82,Nocturnal,16.3,19.7
Sauromalus_ater,Oviparous,Sauromalus_ater,Sauromalus,Iguanidae,165,52.5,-4.298,2.972,486.082,151.732,16,3,8.6,6.9,-113.79,33.45,Diurnal,35.9,38.3
Sauromalus_varius,Oviparous,Sauromalus_varius,Sauromalus,Iguanidae,299.5,75,-4.298,2.972,885.816,218.602,36,9,23.4,18.3,-112.35,28.44,Diurnal,36,36
Sceloporus_aeneus,Oviparous,Sceloporus_aeneus,Sceloporus,Phrynosomatidae,48.7,23,-3.855,2.677,126.515,57.716,12,2,8.1,5.2,-99.75,19.59,Diurnal,28.3,34.5
Sceloporus_bimaculosus,Oviparous,Sceloporus_bimaculosus,Sceloporus,Phrynosomatidae,91.5,35,-3.855,2.677,241.091,89.840,19,2,7,6,-104.85,30.25,Diurnal,33,35
Sceloporus_clarkii,Oviparous,Sceloporus_clarkii,Sceloporus,Phrynosomatidae,92.3,30.5,-3.855,2.677,243.232,77.794,28,1,19.6,8,-109.23,29.31,Diurnal,33.7,34
Sceloporus_consobrinus,Oviparous,Sceloporus_consobrinus,Sceloporus,Phrynosomatidae,60.6,22,-3.855,2.677,158.371,55.039,15,3,9.9,5,-102.4,30.47,Diurnal,34,35.8
Sceloporus_cowlesi,Oviparous,Sceloporus_cowlesi,Sceloporus,Phrynosomatidae,62.2,23,-3.855,2.677,162.654,57.716,12,4,9.9,8.3,-106.69,32.36,Diurnal,34.2,35
Sceloporus_formosus,Viviparous,Sceloporus_formosus,Sceloporus,Phrynosomatidae,69.7,28.9,-3.855,2.677,182.732,73.510,18,2,8.6,5.6,-97.74,17.85,Diurnal,30.6,30.6
Sceloporus_gadoviae,Oviparous,Sceloporus_gadoviae,Sceloporus,Phrynosomatidae,52.2,24.5,-3.855,2.677,135.884,61.732,5,1,3.9,3.6,-99.35,18.39,Diurnal,31.5,35.1
Sceloporus_graciosus,Oviparous,Sceloporus_graciosus,Sceloporus,Phrynosomatidae,55,25,-3.855,2.677,143.380,63.070,10,1,8.4,2.4,-114.09,40.72,Diurnal,30.9,37.5
Sceloporus_grammicus,Viviparous,Sceloporus_grammicus,Sceloporus,Phrynosomatidae,49.7,21,-3.855,2.677,129.192,52.362,17,2,6.2,3.3,-101.86,23.6,Diurnal,31.2,35.7
Sceloporus_horridus,Oviparous,Sceloporus_horridus,Sceloporus,Phrynosomatidae,84.1,27.5,-3.855,2.677,221.281,69.763,27,4,14.8,9,-103.82,21.35,Diurnal,35.7,37.5
Sceloporus_jarrovii,Viviparous,Sceloporus_jarrovii,Sceloporus,Phrynosomatidae,73.4,28.5,-3.855,2.677,192.637,72.440,16,2,8.4,5,-105.13,26.15,Diurnal,29.3,35.4
Sceloporus_magister,Oviparous,Sceloporus_magister,Sceloporus,Phrynosomatidae,93.3,32.5,-3.855,2.677,245.909,83.148,19,2,12.4,6.2,-110.04,31.57,Diurnal,32.8,36.8
