,reproductive.mode,Binomial,Genus,Family,female.SVL,hatchling.neonate.SVL,intercept,slope,female_mass,hatchling_mass,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time,minimum.mean.Tb,maximum.mean.Tb
Anolis_carolinensis,Oviparous,Anolis_carolinensis,Anolis,Dactyloidae,49.3,21.8,-4.574,2.942,140.467,59.562,2,1,1.3,1,-88.33,32.08,Diurnal,22.2,34.2
Anolis_carpenteri,Oviparous,Anolis_carpenteri,Anolis,Dactyloidae,39.9,26,-4.574,2.942,112.812,71.918,1,1,1,1,-83.99,10.44,Diurnal,27.3,27.3
Anolis_chrysolepis,Oviparous,Anolis_chrysolepis,Anolis,Dactyloidae,56,27,-4.574,2.942,160.178,74.860,2,1,1,1,-57.49,-4.08,Diurnal,27.3,30.6
Anolis_conspersus,Oviparous,Anolis_conspersus,Anolis,Dactyloidae,41.6,22,-4.574,2.942,117.813,60.150,1,1,1,1,-82.46,19.51,Diurnal,31.1,31.1
Anolis_cristatellus,Oviparous,Anolis_cristatellus,Anolis,Dactyloidae,50.9,22,-4.574,2.942,145.174,60.150,1,1,1,1,-66.39,18.23,Diurnal,23.3,33.4
Anolis_cupreus,Oviparous,Anolis_cupreus,Anolis,Dactyloidae,44.1,18,-4.574,2.942,125.168,48.382,1,1,1,1,-84.92,13.17,Diurnal,25.1,30.6
Anolis_distichus,Oviparous,Anolis_distichus,Anolis,Dactyloidae,43.4,19,-4.574,2.942,123.109,51.324,1,1,1,1,-76.67,23.35,Diurnal,26.4,31.5
Anolis_evermanni,Oviparous,Anolis_evermanni,Anolis,Dactyloidae,47.5,20,-4.574,2.942,135.171,54.266,1,1,1,1,-66.25,18.22,Diurnal,23.2,25.9
Anolis_frenatus,Oviparous,Anolis_frenatus,Anolis,Dactyloidae,108.9,35,-4.574,2.942,315.810,98.396,1,1,1,1,-76.87,7.56,Diurnal,26.9,26.9
Anolis_fuscoauratus,Oviparous,Anolis_fuscoauratus,Anolis,Dactyloidae,45.2,16.7,-4.574,2.942,128.404,44.557,2,1,1,1,-61.08,-3.58,Diurnal,28.3,28.8
Anolis_gemmosus,Oviparous,Anolis_gemmosus,Anolis,Dactyloidae,57.7,26.8,-4.574,2.942,165.179,74.272,2,1,1,1,-78.55,0,Diurnal,16.2,21
Anolis_grahami,Oviparous,Anolis_grahami,Anolis,Dactyloidae,44.5,18.5,-4.574,2.942,126.345,49.853,2,1,1,1,-77.31,18.16,Diurnal,31.1,31.2
Anolis_gundlachi,Oviparous,Anolis_gundlachi,Anolis,Dactyloidae,44.2,17.4,-4.574,2.942,125.462,46.617,1,1,1,1,-66.45,18.22,Diurnal,19.4,29.2
Anolis_homolechis,Oviparous,Anolis_homolechis,Anolis,Dactyloidae,38.8,16.5,-4.574,2.942,109.576,43.969,1,1,1,1,-78.97,21.59,Diurnal,27.6,32.8
Anolis_humilis,Oviparous,Anolis_humilis,Anolis,Dactyloidae,37.5,16.7,-4.574,2.942,105.751,44.557,2,1,1.1,1,-81.75,8.88,Diurnal,21.5,27.8
Anolis_krugi,Oviparous,Anolis_krugi,Anolis,Dactyloidae,37.1,16,-4.574,2.942,104.574,42.498,1,1,1,1,-66.39,18.21,Diurnal,28.6,28.7
Anolis_lemurinus,Oviparous,Anolis_lemurinus,Anolis,Dactyloidae,59.3,24.5,-4.574,2.942,169.887,67.505,2,1,1,1,-87.07,15.25,Diurnal,21,21
Anolis_limifrons,Oviparous,Anolis_limifrons,Anolis,Dactyloidae,41.8,15.5,-4.574,2.942,118.402,41.027,2,1,2,1,-83.33,11.45,Diurnal,26.1,31
Anolis_lineatopus,Oviparous,Anolis_lineatopus,Anolis,Dactyloidae,46.2,21,-4.574,2.942,131.346,57.208,1,1,1,1,-77.31,18.15,Diurnal,27.5,31
Anolis_lionotus,Oviparous,Anolis_lionotus,Anolis,Dactyloidae,62.5,26.5,-4.574,2.942,179.301,73.389,1,1,1,1,-81.08,8.48,Diurnal,26,26.4
Anolis_lucius,Oviparous,Anolis_lucius,Anolis,Dactyloidae,52,25.1,-4.574,2.942,148.410,69.270,1,1,1,1,-78.9,21.83,Diurnal,25.5,30.4
Anolis_nebulosus,Oviparous,Anolis_nebulosus,Anolis,Dactyloidae,40.8,18,-4.574,2.942,115.460,48.382,1,1,1,1,-102.21,20.94,Diurnal,29.7,34.3
Anolis_oculatus,Oviparous,Anolis_oculatus,Anolis,Dactyloidae,52,22.7,-4.574,2.942,148.410,62.209,2,1,1.1,1,-61.36,15.43,Diurnal,23.7,31
Anolis_opalinus,Oviparous,Anolis_opalinus,Anolis,Dactyloidae,42.3,19.3,-4.574,2.942,119.873,52.207,2,1,1,1,-77.3,18.14,Diurnal,28.1,28.1
Anolis_ortonii,Oviparous,Anolis_ortonii,Anolis,Dactyloidae,44.7,20.3,-4.574,2.942,126.933,55.149,2,1,1,1,-62.48,-4.01,Diurnal,30.3,31.2
Anolis_oxylophus,Oviparous,Anolis_oxylophus,Anolis,Dactyloidae,58.9,26,-4.574,2.942,168.710,71.918,1,1,1,1,-84.23,12.47,Diurnal,29.1,29.1
Anolis_pentaprion,Oviparous,Anolis_pentaprion,Anolis,Dactyloidae,58.2,23,-4.574,2.942,166.650,63.092,2,1,1,1,-84.82,12.53,Diurnal,28,28
Anolis_planiceps,Oviparous,Anolis_planiceps,Anolis,Dactyloidae,62.2,26,-4.574,2.942,178.418,71.918,2,1,1.4,1.4,-63.71,4.93,Diurnal,28.3,28.3
Anolis_poecilopus,Oviparous,Anolis_poecilopus,Anolis,Dactyloidae,59.6,29,-4.574,2.942,170.769,80.744,1,1,1,1,-76.2,7.57,Diurnal,26.5,26.5
Anolis_polylepis,Oviparous,Anolis_polylepis,Anolis,Dactyloidae,45.4,19,-4.574,2.942,128.993,51.324,1,1,1,1,-83.33,8.88,Diurnal,25.6,27.8
Anolis_porcatus,Oviparous,Anolis_porcatus,Anolis,Dactyloidae,54.6,21.9,-4.574,2.942,156.059,59.856,2,1,1,1,-78.93,21.57,Diurnal,31.5,32.7
Anolis_punctatus,Oviparous,Anolis_punctatus,Anolis,Dactyloidae,70.4,26,-4.574,2.942,202.543,71.918,2,1,1.5,1,-60.09,-5.38,Diurnal,28.2,29.2
Anolis_richardii,Oviparous,Anolis_richardii,Anolis,Dactyloidae,71.3,30,-4.574,2.942,205.191,83.686,1,1,1,1,-61.64,12.2,Diurnal,28.3,29.8
Anolis_roquet,Oviparous,Anolis_roquet,Anolis,Dactyloidae,52.3,22,-4.574,2.942,149.293,60.150,2,1,1,1,-61.02,14.65,Diurnal,24.3,28.6
Anolis_sagrei,Oviparous,Anolis_sagrei,Anolis,Dactyloidae,47.7,16,-4.574,2.942,135.759,42.498,2,1,2,1,-83.13,22.88,Diurnal,26.6,34.8
Anolis_scypheus,Oviparous,Anolis_scypheus,Anolis,Dactyloidae,73,29.5,-4.574,2.942,210.192,82.215,2,1,1,1,-73.77,-0.69,Diurnal,27.3,27.5
Anolis_semilineatus,Oviparous,Anolis_semilineatus,Anolis,Dactyloidae,36.1,17,-4.574,2.942,101.632,45.440,1,1,1,1,-71.23,18.91,Diurnal,30.7,32.3
Anolis_tandai,Oviparous,Anolis_tandai,Anolis,Dactyloidae,65.2,27.5,-4.574,2.942,187.244,76.331,1,1,1,1,-65.21,-7.07,Diurnal,27.7,27.7
Anolis_taylori,Oviparous,Anolis_taylori,Anolis,Dactyloidae,57,32,-4.574,2.942,163.120,89.570,1,1,1,1,-99.86,16.86,Diurnal,29.1,30
Anolis_trachyderma,Oviparous,Anolis_trachyderma,Anolis,Dactyloidae,53.8,25.5,-4.574,2.942,153.706,70.447,2,1,2,1,-70.78,-3.99,Diurnal,27.8,28
Anolis_transversalis,Oviparous,Anolis_transversalis,Anolis,Dactyloidae,77.1,38,-4.574,2.942,222.254,107.222,1,1,1,1,-68.88,-4.84,Diurnal,27.6,27.6
Anolis_tropidolepis,Oviparous,Anolis_tropidolepis,Anolis,Dactyloidae,50.8,20.5,-4.574,2.942,144.880,55.737,1,1,1,1,-84.09,10.01,Diurnal,19.4,20.5
Anolis_woodi,Oviparous,Anolis_woodi,Anolis,Dactyloidae,75.4,31,-4.574,2.942,217.253,86.628,1,1,1,1,-83.75,9.62,Diurnal,21.5,21.5
Aristelliger_cochranae,Oviparous,Aristelliger_cochranae,Aristelliger,Sphaerodactylidae,44,20.6,-4.558,2.97,126.122,56.624,1,1,1,1,-72.28,18.8,Cathemeral,29,32.3
Arthrosaura_reticulata,Oviparous,Arthrosaura_reticulata,Arthrosaura,Gymnophthalmidae,56.5,23,-5.178,3.302,181.385,70.768,2,1,2,2,-61.62,-3.75,Diurnal,26.7,27
Aspidoscelis_burti,Oviparous,Aspidoscelis_burti,Aspidoscelis,Teiidae,102.2,33,-4.747,3.11,313.095,97.883,10,1,4.3,4.3,-110.26,29.57,Diurnal,36,43
Aspidoscelis_cozumelus,Oviparous,Aspidoscelis_cozumelus,Aspidoscelis,Teiidae,63.5,28.2,-4.747,3.11,192.738,82.955,4,1,1.8,1.7,-89.1,17.47,Diurnal,38,38
Aspidoscelis_deppii,Oviparous,Aspidoscelis_deppii,Aspidoscelis,Teiidae,67.4,30.5,-4.747,3.11,204.867,90.108,4,1,3,1.6,-93.54,16.49,Diurnal,37.9,42.5
Aspidoscelis_exsanguis,Oviparous,Aspidoscelis_exsanguis,Aspidoscelis,Teiidae,80.6,34.8,-4.747,3.11,245.919,103.481,7,1,4.4,2.7,-106.38,31.72,Diurnal,38,40.4
Aspidoscelis_gularis,Oviparous,Aspidoscelis_gularis,Aspidoscelis,Teiidae,77.4,32.5,-4.747,3.11,235.967,96.328,8,1,5,2.4,-100.92,28.19,Diurnal,33.5,41
Aspidoscelis_guttatus,Oviparous,Aspidoscelis_guttatus,Aspidoscelis,Teiidae,92.7,35,-4.747,3.11,283.550,104.103,5,1,4.5,4.5,-96.79,17.41,Diurnal,38.2,40.4
Aspidoscelis_hyperythrus,Oviparous,Aspidoscelis_hyperythrus,Aspidoscelis,Teiidae,58.3,27.5,-4.747,3.11,176.566,80.778,4,1,2.3,2.3,-113.86,28.61,Diurnal,38.5,39.9
Aspidoscelis_inornatus,Oviparous,Aspidoscelis_inornatus,Aspidoscelis,Teiidae,54.9,31.5,-4.747,3.11,165.992,93.218,6,1,3.3,2,-104.17,29.13,Diurnal,38,40.2
Aspidoscelis_laredoensis,Oviparous,Aspidoscelis_laredoensis,Aspidoscelis,Teiidae,72.9,32.5,-4.747,3.11,221.972,96.328,7,1,4.2,2.6,-99.35,27.31,Diurnal,39.4,39.6
Aspidoscelis_lineattissimus,Oviparous,Aspidoscelis_lineattissimus,Aspidoscelis,Teiidae,77.8,32.5,-4.747,3.11,237.211,96.328,9,1,4.8,3.8,-103.78,19.62,Diurnal,31.1,38.4
Aspidoscelis_marmoratus,Oviparous,Aspidoscelis_marmoratus,Aspidoscelis,Teiidae,79.6,34.5,-4.747,3.11,242.809,102.548,5,1,3.3,2,-103.93,29.89,Diurnal,38.5,40
Aspidoscelis_neomexicanus,Oviparous,Aspidoscelis_neomexicanus,Aspidoscelis,Teiidae,67.5,33.8,-4.747,3.11,205.178,100.371,4,1,2.3,1.6,-106.79,33.12,Diurnal,39,39.4
Aspidoscelis_parvisocius,Oviparous,Aspidoscelis_parvisocius,Aspidoscelis,Teiidae,58.9,29,-4.747,3.11,178.432,85.443,4,1,1.8,1.8,-97.4,18.19,Diurnal,36.7,40.1
Aspidoscelis_scalaris,Oviparous,Aspidoscelis_scalaris,Aspidoscelis,Teiidae,78.5,32.5,-4.747,3.11,239.388,96.328,5,1,3.3,3.3,-102.91,25.14,Diurnal,37.6,37.6
Aspidoscelis_sexlineatus,Oviparous,Aspidoscelis_sexlineatus,Aspidoscelis,Teiidae,67,31,-4.747,3.11,203.623,91.663,8,1,5.3,2.1,-92.91,35.26,Diurnal,36.6,41
Aspidoscelis_tesselatus,Oviparous,Aspidoscelis_tesselatus,Aspidoscelis,Teiidae,76.9,41.5,-4.747,3.11,234.412,124.318,8,1,4.9,3.2,-104.16,32.45,Diurnal,37.8,42
Aspidoscelis_tigris,Oviparous,Aspidoscelis_tigris,Aspidoscelis,Teiidae,81.3,33,-4.747,3.11,248.096,97.883,8,1,4.1,1.3,-111.42,33.69,Diurnal,37.1,41.3
Aspidoscelis_uniparens,Oviparous,Aspidoscelis_uniparens,Aspidoscelis,Teiidae,63.1,28.5,-4.747,3.11,191.494,83.888,7,1,3.7,2.4,-108.89,32.27,Diurnal,36.7,41
Aspidoscelis_velox,Oviparous,Aspidoscelis_velox,Aspidoscelis,Teiidae,74,35,-4.747,3.11,225.393,104.103,5,3,4,4,-109.34,35.97,Diurnal,38,38.7
Atlantolacerta_andreanskyi,Oviparous,Atlantolacerta_andreanskyi,Atlantolacerta,Lacertidae,46,22.2,-4.543,2.951,131.203,60.969,3,1,2.1,1.6,-6.55,31.72,Diurnal,31.4,31.4
Bachia_bicolor,Oviparous,Bachia_bicolor,Bachia,Gymnophthalmidae,61.1,25.5,-5.178,3.302,196.574,79.023,2,2,2,2,-74.12,8.46,Diurnal,26.8,26.8
Barisia_imbricata,Viviparous,Barisia_imbricata,Barisia,Anguidae,110,32.1,-5.224,2.892,312.896,87.609,20,5,16,6.9,-102.2,22.2,Diurnal,26.6,26.6
Basiliscus_basiliscus,Oviparous,Basiliscus_basiliscus,Basiliscus,Corytophanidae,160,40,-5.033,3.243,513.847,124.687,20,2,10,8.4,-75.9,8,Diurnal,26,29.5
Basiliscus_vittatus,Oviparous,Basiliscus_vittatus,Basiliscus,Corytophanidae,117.8,37.5,-5.033,3.243,376.992,116.580,18,2,6.9,3.9,-91.18,16.83,Diurnal,34.7,37.6
Bassiana_duperreyi,Oviparous,Bassiana_duperreyi,Bassiana,Scincidae,65.7,25.8,-5.125,3.229,207.020,78.183,11,2,5.8,4.8,144.62,-37.39,Diurnal,26.2,32
Bassiana_trilineata,Oviparous,Bassiana_trilineata,Bassiana,Scincidae,64.3,27,-5.125,3.229,202.500,82.058,10,2,6,4.3,122.32,-32.95,Diurnal,26,28.3
Bellatorias_major,Viviparous,Bellatorias_major,Bellatorias,Scincidae,278.2,76.5,-5.125,3.229,893.183,241.894,9,2,6,4.7,152.38,-29.84,Diurnal,29.9,32.9
Bipes_biporus,Oviparous,Bipes_biporus,Bipes,Bipedidae,176,99.5,-5.858,2.943,512.110,286.971,4,1,2.2,2,-112.53,26.13,Diurnal,23,32.1
Bipes_canaliculatus,Oviparous,Bipes_canaliculatus,Bipes,Bipedidae,202.5,93,-5.858,2.943,590.100,267.841,4,1,2.8,2.8,-101.32,18.35,Diurnal,28.7,31.1
Brachylophus_vitiensis,Oviparous,Brachylophus_vitiensis,Brachylophus,Iguanidae,204.5,77.5,-4.298,2.972,603.476,226.032,6,1,4,4,177.59,-17.64,Diurnal,32,32
Bradypodion_pumilum,Viviparous,Bradypodion_pumilum,Bradypodion,Chamaeleonidae,71.4,21,-3.997,2.68,187.355,52.283,21,2,14,11,17.74,-30.36,Diurnal,22.4,32
Brasiliscincus_agilis,Viviparous,Brasiliscincus_agilis,Brasiliscincus,Scincidae,70.6,33.5,-5.125,3.229,222.842,103.047,9,1,5.7,3.3,-41.13,-17.27,Diurnal,31.4,34.5
Brasiliscincus_heathi,Viviparous,Brasiliscincus_heathi,Brasiliscincus,Scincidae,67.1,29.7,-5.125,3.229,211.541,90.776,9,2,5.3,2.8,-42.41,-10.36,Diurnal,34.6,34.6
Bunopus_blanfordii,Oviparous,Bunopus_blanfordii,Bunopus,Gekkonidae,40.9,21,-4.242,2.761,108.683,53.739,2,2,2,2,39.5,27.18,Cathemeral,31.3,31.3
Bunopus_tuberculatus,Oviparous,Bunopus_tuberculatus,Bunopus,Gekkonidae,39.3,20.5,-4.242,2.761,104.265,52.359,2,1,2,2,51.55,28.41,Cathemeral,30,30
Callisaurus_draconoides,Oviparous,Callisaurus_draconoides,Callisaurus,Phrynosomatidae,67.9,28.5,-3.855,2.677,177.913,72.440,15,1,6,2.7,-113.75,32.88,Diurnal,37.1,41.5
Calotes_versicolor,Oviparous,Calotes_versicolor,Calotes,Agamidae,86.8,23.2,-4.686,3.105,264.828,67.350,33,1,20,7.3,87.85,21.29,Diurnal,25.6,36.1
Carinascincus_coventryi,Viviparous,Carinascincus_coventryi,Carinascincus,Scincidae,42.9,17.6,-5.125,3.229,133.399,51.705,7,1,3,2.1,147.39,-36.01,Diurnal,27,27
Carinascincus_greeni,Viviparous,Carinascincus_greeni,Carinascincus,Scincidae,64,30.5,-5.125,3.229,201.531,93.360,3,2,3,2.3,146.74,-41.87,Diurnal,27.4,27.4
Carinascincus_metallicus,Viviparous,Carinascincus_metallicus,Carinascincus,Scincidae,52.7,22.2,-5.125,3.229,165.043,66.559,8,1,4.6,3,146.5,-40.9,Diurnal,29,35.4
Carinascincus_microlepidotus,Viviparous,Carinascincus_microlepidotus,Carinascincus,Scincidae,59.2,24.5,-5.125,3.229,186.032,73.986,6,1,2.8,2.2,146.34,-42.53,Diurnal,22,30.5
Carinascincus_ocellatus,Viviparous,Carinascincus_ocellatus,Carinascincus,Scincidae,68.7,29.4,-5.125,3.229,216.707,89.808,6,1,4,2.4,146.64,-41.88,Diurnal,30.5,30.5
Carlia_fusca,Oviparous,Carlia_fusca,Carlia,Scincidae,49.5,23.4,-5.125,3.229,154.711,70.434,2,1,2,1.7,135.72,-3.36,Diurnal,30.8,32.7
Carlia_longipes,Oviparous,Carlia_longipes,Carlia,Scincidae,58.5,23.7,-5.125,3.229,183.772,71.402,2,1,2,2,142.37,-9.65,Diurnal,30.8,30.8
Carlia_rhomboidalis,Oviparous,Carlia_rhomboidalis,Carlia,Scincidae,49.3,20,-5.125,3.229,154.065,59.455,2,2,2,2,146.79,-19.15,Diurnal,28.9,28.9
Carlia_rostralis,Oviparous,Carlia_rostralis,Carlia,Scincidae,56.1,25.2,-5.125,3.229,176.022,76.246,2,2,2,2,143.17,-17.6,Diurnal,29.3,30.7
Carlia_rubrigularis,Oviparous,Carlia_rubrigularis,Carlia,Scincidae,52.9,22.6,-5.125,3.229,165.689,67.850,2,2,2,2,145.47,-18,Diurnal,28.5,31.7
Carlia_storri,Oviparous,Carlia_storri,Carlia,Scincidae,43.1,20.3,-5.125,3.229,134.045,60.424,2,2,2,2,143.87,-14.3,Diurnal,28.9,31.5
Carlia_vivax,Oviparous,Carlia_vivax,Carlia,Scincidae,46.1,20,-5.125,3.229,143.732,59.455,2,2,2,2,147.94,-22.38,Diurnal,30.5,30.5
Cercosaura_eigenmanni,Oviparous,Cercosaura_eigenmanni,Cercosaura,Gymnophthalmidae,47,19.4,-5.178,3.302,150.016,58.881,2,2,2,2,-61.82,-12.21,Diurnal,27.2,29.9
Cercosaura_ocellata,Oviparous,Cercosaura_ocellata,Cercosaura,Gymnophthalmidae,52,21,-5.178,3.302,166.526,64.164,3,1,2.9,2,-55.68,-8.74,Diurnal,28.1,28.1
Cercosaura_oshaughnessyi,Oviparous,Cercosaura_oshaughnessyi,Cercosaura,Gymnophthalmidae,35.4,20.5,-5.178,3.302,111.713,62.513,2,1,2,2,-73.34,-3.25,Diurnal,28.9,30.1
Chalcides_bedriagai,Viviparous,Chalcides_bedriagai,Chalcides,Scincidae,75.3,31.1,-5.125,3.229,238.019,95.297,6,1,2.7,2.2,-4.37,39.62,Diurnal,28.5,28.5
Chalcides_guentheri,Viviparous,Chalcides_guentheri,Chalcides,Scincidae,130.5,48,-5.125,3.229,416.260,149.867,8,3,5.8,3,35.34,32.45,Diurnal,36.2,36.2
Chalcides_ocellatus,Viviparous,Chalcides_ocellatus,Chalcides,Scincidae,109.4,37,-5.125,3.229,348.128,114.348,25,1,10,3,26.91,25.09,Cathemeral,30.4,34.1
Chalcides_sepsoides,Viviparous,Chalcides_sepsoides,Chalcides,Scincidae,98.2,38,-5.125,3.229,311.963,117.577,10,2,6,2.7,25.62,28.89,Cathemeral,27.7,27.7
Chalcidoseps_thwaitesi,Oviparous,Chalcidoseps_thwaitesi,Chalcidoseps,Scincidae,113.7,35,-5.125,3.229,362.012,107.890,2,2,2,2,80.8,7.4,Diurnal,25.3,25.3
Chamaeleo_chamaeleon,Oviparous,Chamaeleo_chamaeleon,Chamaeleo,Chamaeleonidae,114.3,27.2,-3.997,2.68,302.327,68.899,50,3,30,17.3,14.58,31.03,Diurnal,24.2,32.8
Chamaeleo_dilepis,Oviparous,Chamaeleo_dilepis,Chamaeleo,Chamaeleonidae,150.6,31.5,-3.997,2.68,399.611,80.423,77,2,44.2,35,27,-8.73,Diurnal,31.2,32
Chamaeleo_namaquensis,Oviparous,Chamaeleo_namaquensis,Chamaeleo,Chamaeleonidae,120,27.8,-3.997,2.68,317.603,70.507,30,6,13.2,13.2,17.23,-24.95,Diurnal,28.7,34.2
Chatogekko_amazonicus,Oviparous,Chatogekko_amazonicus,Chatogekko,Sphaerodactylidae,22.2,12.3,-4.558,2.97,61.376,31.973,1,1,1,1,-60.62,-3.65,Diurnal,27.5,27.5
Chlamydosaurus_kingii,Oviparous,Chlamydosaurus_kingii,Chlamydosaurus,Agamidae,209.8,49,-4.686,3.105,646.743,147.459,24,4,15.1,8.9,138.94,-17.92,Diurnal,32.8,36.7
Chondrodactylus_angulifer,Oviparous,Chondrodactylus_angulifer,Chondrodactylus,Gekkonidae,86.1,38,-4.242,2.761,233.480,100.676,2,1,1.7,1.7,18.92,-27.35,Nocturnal,25,26.2
Chondrodactylus_bibronii,Oviparous,Chondrodactylus_bibronii,Chondrodactylus,Gekkonidae,75,28,-4.242,2.761,202.833,73.066,2,1,2,2,20.5,-27.76,Nocturnal,27.6,32
Christinus_guentheri,Oviparous,Christinus_guentheri,Christinus,Gekkonidae,68,30,-4.242,2.761,183.506,78.588,2,1,1.3,1.3,159.08,-31.56,Nocturnal,19,21.5
Christinus_marmoratus,Oviparous,Christinus_marmoratus,Christinus,Gekkonidae,51.6,16,-4.242,2.761,138.226,39.934,2,1,2,1.5,134.33,-33.73,Nocturnal,14.1,33.8
Cnemidophorus_cryptus,Oviparous,Cnemidophorus_cryptus,Cnemidophorus,Teiidae,62,31.5,-4.747,3.11,188.073,93.218,3,1,1.9,1.1,-52.16,-2.6,Diurnal,38.9,39.4
Cnemidophorus_gramivagus,Oviparous,Cnemidophorus_gramivagus,Cnemidophorus,Teiidae,79.7,32.5,-4.747,3.11,243.120,96.328,3,1,1.7,1.5,-69.7,4.77,Diurnal,37.6,37.7
Cnemidophorus_lemniscatus,Oviparous,Cnemidophorus_lemniscatus,Cnemidophorus,Teiidae,62.8,25.5,-4.747,3.11,190.561,74.558,5,1,2.6,1.1,-64.55,4.08,Diurnal,37.6,38.8
Cnemidophorus_murinus,Oviparous,Cnemidophorus_murinus,Cnemidophorus,Teiidae,95.8,42,-4.747,3.11,293.191,125.873,2,1,1.2,1.2,-64.77,11.14,Diurnal,37.2,40.4
Coleonyx_brevis,Oviparous,Coleonyx_brevis,Coleonyx,Eublepharidae,52.5,23.5,-5.201,3.255,165.687,71.292,4,1,2.3,2,-102.43,28.57,Nocturnal,27.6,28.6
Coleonyx_mitratus,Oviparous,Coleonyx_mitratus,Coleonyx,Eublepharidae,76.3,35.5,-5.201,3.255,243.156,110.352,2,1,2,2,-86.47,12.66,Nocturnal,24.9,24.9
Coleonyx_reticulatus,Oviparous,Coleonyx_reticulatus,Coleonyx,Eublepharidae,87.5,40,-5.201,3.255,279.612,124.999,2,2,2,2,-103.18,27.97,Nocturnal,24,32
Coleonyx_variegatus,Oviparous,Coleonyx_variegatus,Coleonyx,Eublepharidae,60.8,27.5,-5.201,3.255,192.703,84.312,2,1,2,1.9,-113.64,32.1,Nocturnal,19.4,32.8
Colopus_wahlbergii,Oviparous,Colopus_wahlbergii,Colopus,Gekkonidae,58.9,25,-4.242,2.761,158.381,64.783,2,2,2,2,22.63,-22.7,Nocturnal,23.9,26.3
Concinnia_queenslandiae,Viviparous,Concinnia_queenslandiae,Concinnia,Scincidae,70.1,32.5,-5.125,3.229,221.228,99.818,6,1,3.2,3.1,145.42,-17.11,Cathemeral,32.7,32.7
Conolophus_pallidus,Oviparous,Conolophus_pallidus,Conolophus,Iguanidae,333.8,100,-4.298,2.972,987.756,292.902,10,10,10,10,-90.06,-0.82,Diurnal,32.2,37.6
Conolophus_subcristatus,Oviparous,Conolophus_subcristatus,Conolophus,Iguanidae,382.5,100,-4.298,2.972,1132.492,292.902,23,7,13.5,8.4,-91.08,-0.55,Diurnal,33.8,36.5
Contomastix_lacertoides,Oviparous,Contomastix_lacertoides,Contomastix,Teiidae,62,26.5,-4.747,3.11,188.073,77.668,8,2,3.8,3.8,-59.88,-28.26,Diurnal,35,35.2
Copeoglossum_nigropunctatum,Viviparous,Copeoglossum_nigropunctatum,Copeoglossum,Scincidae,93.6,35.7,-5.125,3.229,297.109,110.150,9,2,6.3,3.3,-58.12,-6.8,Diurnal,31.2,34.9
Cophosaurus_texanus,Oviparous,Cophosaurus_texanus,Cophosaurus,Phrynosomatidae,55.9,23.5,-3.855,2.677,145.789,59.055,12,1,6.8,2.3,-103.33,29.79,Diurnal,34.9,39.2
Cordylus_cordylus,Viviparous,Cordylus_cordylus,Cordylus,Cordylidae,73.4,35,-4.207,2.471,177.164,82.278,3,1,2,2,24.48,-32.46,Diurnal,20.5,27.8
Corucia_zebrata,Viviparous,Corucia_zebrata,Corucia,Scincidae,300,149,-5.125,3.229,963.575,475.996,2,1,1.3,1,158.36,-8.08,Nocturnal,29.2,30.5
Crocodilurus_amazonicus,Oviparous,Crocodilurus_amazonicus,Crocodilurus,Teiidae,211.7,73.5,-4.747,3.11,653.640,223.838,6,3,5.7,5.5,-62.47,-3.1,Diurnal,31.2,31.2
Crotaphytus_collaris,Oviparous,Crotaphytus_collaris,Crotaphytus,Crotaphytidae,90.6,38,-1.528,1.569,140.623,58.094,24,1,8.3,3.7,-103.4,32.64,Diurnal,35.5,38
Cryptoblepharus_buchananii,Oviparous,Cryptoblepharus_buchananii,Cryptoblepharus,Scincidae,42.2,22,-5.125,3.229,131.139,65.913,3,2,2,2,119.55,-27.9,Diurnal,32.4,32.6
Cryptoblepharus_plagiocephalus,Oviparous,Cryptoblepharus_plagiocephalus,Cryptoblepharus,Scincidae,38.9,16,-5.125,3.229,120.483,46.539,2,1,2,1.9,119.19,-27.21,Diurnal,32.3,32.9
Ctenophorus_caudicinctus,Oviparous,Ctenophorus_caudicinctus,Ctenophorus,Agamidae,61.5,22.5,-4.686,3.105,186.272,65.177,8,2,5.4,5.4,123.75,-23.4,Diurnal,29,39
Ctenophorus_clayi,Oviparous,Ctenophorus_clayi,Ctenophorus,Agamidae,50,25,-4.686,3.105,150.564,72.939,4,1,3,1.9,125.04,-24.68,Diurnal,36.5,36.9
Ctenophorus_fordi,Oviparous,Ctenophorus_fordi,Ctenophorus,Agamidae,51.8,24.5,-4.686,3.105,156.153,71.387,5,1,2.4,2.2,134.18,-30.76,Diurnal,36.9,37.2
Ctenophorus_isolepis,Oviparous,Ctenophorus_isolepis,Ctenophorus,Agamidae,58.1,25.5,-4.686,3.105,175.715,74.492,6,1,4.6,2.8,128.58,-23.91,Diurnal,37.2,43.7
Ctenophorus_maculatus,Oviparous,Ctenophorus_maculatus,Ctenophorus,Agamidae,54.4,28,-4.686,3.105,164.226,82.254,5,2,4,2,119.28,-30.51,Diurnal,37.5,37.5
Ctenophorus_maculosus,Oviparous,Ctenophorus_maculosus,Ctenophorus,Agamidae,59.3,27.5,-4.686,3.105,179.441,80.702,5,1,3.4,3,138.36,-29.67,Diurnal,37,39.8
